author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Schember, John","John Schember","calibre Quick Start Guide","C:\Users\chris\Calibre Library\John Schember\Quick Start Guide (1)\cover.jpg","2024-02-08T12:26:35+01:00","epub","","1","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","54630","","Quick Start Guide","Quick Start Guide","c3b31992-6ceb-47fa-9823-7794a46cfa1e"
"Johnson, Leah","Leah Johnson","<p> From the author of <I>You Should See Me in a Crown</I>, Leah Johnson delivers a stunning novel about being brave enough to be true to yourself, and learning to find joy even when times are unimaginably dark.<P></P><P>Olivia is an expert at falling in love . . . and at being dumped. But after the fallout from her last breakup has left her an outcast at school and at home, sheâ€&#8482;s determined to turn over a new leaf. A crush-free weekend at Farmland Music and Arts Festival with her best friend is just what she needs to get her mind off the senior year that awaits her.</P><P></P><P>Toni is one week away from starting college, and itâ€&#8482;s the last place she wants to be. Unsure about who she wants to become and still reeling in the wake of the loss of her musician-turned-roadie father, sheâ€&#8482;s heading back to the music festival that changed his life in hopes that following in his footsteps will help her find her own way forward.</P><P></P><P>When the two arrive at...","C:\Users\chris\Calibre Library\Leah Johnson\Rise to the Sun (2)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","2","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","6980115","","Rise to the Sun","Rise to the Sun","b57c7ca3-6422-4451-8245-c527ff446ebb"
"Brown, Austin Channing","Austin Channing Brown","<b>From a leading new voice on race and justice, an eye-opening account of what it's like to grow up black, Christian, and female in white America, in this idea-driven memoir about how her determined quest for identity and understanding shows a way forward for us all.</b><br>Austin Channing Brown's first encounter with a racialized America came at age 7, when she discovered her parents named her Austin to deceive future employers into thinking she was a white man. Growing up in majority-white schools, organizations, and churches, Austin writes, ""I had to learn what it means to love blackness,"" a journey that led to a lifetime spent navigating America's racial divide as a writer, speaker and expert who helps organizations practice genuine inclusion.<br>In a time when nearly all institutions (schools, churches, universities, businesses) claim to value ""diversity"" in their mission statements, I'M STILL HERE is a powerful account of how and why our actions so often fall short of our...","C:\Users\chris\Calibre Library\Austin Channing Brown\I'm Still Here_ Black Dignity in a W (3)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","3","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","860590","","I'm Still Here: Black Dignity in a World Made for Whiteness","I'm Still Here: Black Dignity in a World Made for Whiteness","3128c004-bf10-4cbd-9c38-ba4808771041"
"Williams, Tia","Tia Williams","**Seven days to fall in love, fifteen years to forget and seven days to get it all back again... From the author of** The Perfect Find **, this is a witty, romantic, and sexy-as-hell new novel of two writers and their second chance at love**.   
Brooklynite Eva Mercy is a single mom and bestselling erotica writer, who is feeling pressed from all sides. Shane Hall is a reclusive, enigmatic, award-winning literary author who, to everyone's surprise, shows up in New York.   
When Shane and Eva meet unexpectedly at a literary event, sparks fly, raising not only their past buried traumas, but the eyebrows of New York's Black literati. What no one knows is that twenty years earlier, teenage Eva and Shane spent one crazy, torrid week madly in love. They may be pretending that everything is fine now, but they can't deny their chemistry-or the fact that they've been secretly writing to each other in their books...
","C:\Users\chris\Calibre Library\Tia Williams\Seven Days in June (4)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","4","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","406676","None","Seven Days in June","Seven Days in June","3cd64527-a3b2-4bc4-a764-0ba0ee197e3e"
"Johnson, Leah","Leah Johnson","Liz Lighty has always believed she's too black, too poor, too awkward to shine in her small, rich, prom-obsessed midwestern town. But it's okay — Liz has a plan that will get her out of Campbell, Indiana, forever: attend the uber-elite Pennington College, play in their world-famous orchestra, and become a doctor.<br /> <br />But when the financial aid she was counting on unexpectedly falls through, Liz's plans come crashing down . . . until she's reminded of her school's scholarship for prom king and queen. There's nothing Liz wants to do less than endure a gauntlet of social media trolls, catty competitors, and humiliating public events, but despite her devastating fear of the spotlight she's willing to do whatever it takes to get to Pennington.<br /> <br />The only thing that makes it halfway bearable is the new girl in school, Mack. She's smart, funny, and just as much of an outsider as Liz. But Mack is also in the running for queen. Will falling for the competition keep Liz...","C:\Users\chris\Calibre Library\Leah Johnson\You Should See Me in a Crown (5)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","5","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","897491","","You Should See Me in a Crown","You Should See Me in a Crown","23bc786c-8a82-411b-bab4-52aad65ad808"
"Guillory, Jasmine","Jasmine Guillory","<b>As seen on <i>The Today Show! <br></i><br>The new exhilarating romance from <i>The New York Times </i>bestselling author of<i> The Proposal, </i>a <b><b>Reese Witherspoon x Hello Sunshine Book Club Pick</b></b>!</b><br> <br> Maddie and Theo have two things in common:<br> 1. Alexa is their best friend<br> 2. They hate each other<br> <b><br> </b>After an ""oops, we made a mistake"" night together, neither one can stop thinking about the other. With Alexa's wedding rapidly approaching, Maddie and Theo both share bridal party responsibilities that require more interaction with each other than they're comfortable with. Underneath the sharp barbs they toss at each other is a simmering attraction that won't fade. It builds until they find themselves sneaking off together to release some tension when Alexa isn't looking, agreeing they would end it once the wedding is over. When it's suddenly pushed up and they only have a few months left of secret rendezvouses, they find themselves...","C:\Users\chris\Calibre Library\Jasmine Guillory\The Wedding Party (6)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","6","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1946517","","The Wedding Party","Wedding Party, The","3deea883-28ad-40c9-a498-3db4a774a2d9"
"Bennett, Brit","Brit Bennett","<b><b><b>Named a Most Anticipated Book of 2020 by <i>O, the Oprah Magazine, The Washington Post, Harper's Bazaar, Buzzfeed, Vogue, PureWow, New York Magazine</i> and more</b><br><b><br><b>""Bennett's tone and style recalls James Baldwin and Jacqueline Woodson, but it's especially reminiscent of Toni Morrison's 1970 debut novel, <i>The Bluest Eye.""</i> <b>&#8212;</b>Kiley Reid, <i>Wall Street Journal</i></b> </b><br><b><br>""A page-turner."" &#8212;<i>O, The Oprah Magazine<br></i><br><b>""Sure to be one of 2020s best and boldest."" </b><i><b>&#8211;<i>Elle</i></b></i></b><br>From <i>The</i> <i>New York Times</i>-bestselling author of <i>The Mothers</i>, a stunning new novel about twin sisters, inseparable as children, who ultimately choose to live in two very different worlds, one black and one white.</b></b><br>The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of...","C:\Users\chris\Calibre Library\Brit Bennett\The Vanishing Half_ A Novel (7)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","7","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","750518","","The Vanishing Half: A Novel","Vanishing Half: A Novel, The","d4ae98a4-b701-4757-a409-e83b48bceb5d"
"Sexton, Margaret Wilkerson","Margaret Wilkerson Sexton","<b>Following her National Book Award&#8211;nominated debut novel, <i>A Kind of Freedom</i>, Margaret Wilkerson Sexton returns with this equally elegant and historically inspired story of survivors and healers, of black women and their black sons, set in the American South</b><br> In 1925, Josephine is the proud owner of a thriving farm. As a child, she channeled otherworldly power to free herself from slavery. Now, her new neighbor, a white woman named Charlotte, seeks her company, and an uneasy friendship grows between them. But Charlotte has also sought solace in the Ku Klux Klan, a relationship that jeopardizes Josephine's family.<br> Nearly one hundred years later, Josephine's descendant, Ava, is a single mother who has just lost her job. She moves in with her white grandmother Martha, a wealthy but lonely woman who pays her grandchild to be her companion. But Martha's behavior soon becomes erratic, then even threatening, and Ava must escape before her story and Josephine's...","C:\Users\chris\Calibre Library\Margaret Wilkerson Sexton\The Revisioners (8)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","8","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1146366","","The Revisioners","Revisioners, The","45ae922b-1568-46b1-8ab9-2eb8187d6e50"
"Guillory, Jasmine","Jasmine Guillory","<b>The author of <i>The Wedding Date </i>serves up a novel about what happens when a public proposal doesn't turn into a happy ending, thanks to a woman who knows exactly how to make one on her own...</b><br><b>When someone asks you to spend your life with him, it shouldn't come as a surprise&#8212;or happen in front of 45,000 people.</b><br>When freelance writer Nikole Paterson goes to a Dodgers game with her actor boyfriend, his man bun, and his bros, the last thing she expects is a scoreboard proposal. Saying no isn't the hard part&#8212;they've only been dating for five months, and he can't even spell her name correctly. The hard part is having to face a stadium full of disappointed fans...<br>At the game with his sister, Carlos Ibarra comes to Nik's rescue and rushes her away from a camera crew. He's even there for her when the video goes viral and Nik's social media blows up&#8212;in a bad way. Nik knows that in the wilds of LA, a handsome doctor like Carlos can't be looking...","C:\Users\chris\Calibre Library\Jasmine Guillory\The Proposal (9)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","9","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","303821","","The Proposal","Proposal, The","147b5a3e-5e31-4a89-bf83-ded914c92ef4"
"Foley, Lucy","Lucy Foley","<p><strong>""As you patiently await season two of Only Murders in the Building, cozy up with Lucy Foley's latest whodunnit."" &#8212; Parade</strong></p><p><strong>""Exceedingly clever."" &#8212; Booklist</strong></p><p><strong>From the New York Times bestselling author of The Guest List comes a new locked room mystery, set in a Paris apartment building in which every resident has something to hide... </strong></p><p>Jess needs a fresh start. She's broke and alone, and she's just left her job under less than ideal circumstances. Her half-brother Ben didn't sound thrilled when she asked if she could crash with him for a bit, but he didn't say no, and surely everything will look better from Paris. Only when she shows up &#8211; to find a very nice apartment, could Ben really have afforded this? &#8211; he's not there.</p><p>The longer Ben stays missing, the more Jess starts to dig into her brother's situation, and the more questions she has. Ben's neighbors are an eclectic bunch, and...","C:\Users\chris\Calibre Library\Lucy Foley\The Paris Apartment (10)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","10","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1059316","","The Paris Apartment","Paris Apartment, The","0a96d154-f411-4ea9-b042-92c003ded1d2"
"Johnson, Sadeqa","Sadeqa Johnson","<B><b>From the award-winning author of <i>Yellow Wife</i>, a daring and redemptive novel set in 1950s Philadelphia and Washington, DC, that explores what it means to be a woman and a mother, and how much one is willing to sacrifice to achieve her greatest goal.</b></B><BR>1950s Philadelphia: fifteen-year-old Ruby Pearsall is on track to becoming the first in her family to attend college, in spite of having a mother more interested in keeping a man than raising a daughter. But a taboo love affair threatens to pull her back down into the poverty and desperation that has been passed on to her like a birthright.<BR> <BR>Eleanor Quarles arrives in Washington, DC, with ambition and secrets. When she meets the handsome William Pride at Howard University, they fall madly in love. But William hails from one of DC's elite wealthy Black families, and his par&#173;ents don't let just anyone into their fold. Eleanor hopes that a baby will make her finally feel at home in William's family and...","C:\Users\chris\Calibre Library\Sadeqa Johnson\The House of Eve (11)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","11","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","3095902","","The House of Eve","House of Eve, The","043b3d97-1ae1-4516-87df-c3c01ef05add"
"Sexton, Margaret Wilkerson","Margaret Wilkerson Sexton","<p><strong>A stunning novel about a mother whose dream of musical stardom for her three daughters collides with the daughters' ambitions for their own lives&#8212;set against the backdrop of gentrifying 1950s San Francisco</strong></p><p>At home they are just sisters, but on stage, they are The Salvations. Ruth, Esther, and Chloe have been singing and dancing in harmony since they could speak. Thanks to the rigorous direction of their mother, Vivian, they've become a bona fide girl group whose shows are the talk of the Jazz-era Fillmore.</p><p>Now Vivian has scored a once-in-a-lifetime offer from a talent manager, who promises to catapult The Salvations into the national spotlight. Vivian knows this is the big break she's been praying for. But sometime between the hours of rehearsal on their rooftop and the weekly gigs at the Champagne Supper Club, the girls have become women, women with dreams that their mother cannot imagine.</p><p>The neighborhood is changing, too: all around...","C:\Users\chris\Calibre Library\Margaret Wilkerson Sexton\On the Rooftop (12)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","12","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","2823744","","On the Rooftop","On the Rooftop","c40d432e-7ddc-4609-9470-de4215fff727"
"Reid, Kiley","Kiley Reid","**A** **striking and surprising debut novel from an exhilarating new voice,** Such a Fun Age **is a page-turning and big-hearted story about race and privilege, set around a young black babysitter, her well-intentioned employer, and a surprising connection that threatens to undo them both.**  
  
Alix Chamberlain is a woman who gets what she wants and has made a living showing other women how to do the same. A mother to two small girls, she started out as a blogger and has quickly built herself into a confidence-driven brand. So she is shocked when her babysitter, Emira Tucker, is confronted while watching the Chamberlains’ toddler one night. Seeing a young black woman out late with a white child, a security guard at their local high-end supermarket accuses Emira of kidnapping two-year-old Briar. A small crowd gathers, a bystander films everything, and Emira is furious and humiliated. Alix resolves to make it right.  
  
But Emira herself is aimless, broke, and wary of Alix’s desire to help. At twenty-five, she is about to lose her health insurance and has no idea what to do with her life. When the video of Emira unearths someone from Alix’s past, both women find themselves on a crash course that will upend everything they think they know about themselves, and each other.  
  
With empathy and piercing social commentary, *Such a Fun Age* explores the stickiness of transactional relationships, what it means to make someone “family,” the complicated reality of being a grown up, and the consequences of doing the right thing for the wrong reason. 
","C:\Users\chris\Calibre Library\Kiley Reid\Such a Fun Age (13)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","13","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","375793","","Such a Fun Age","Such a Fun Age","b7001ff5-4826-4608-ba7e-e2f975914d1c"
"Moyes, Jojo","Jojo Moyes","","C:\Users\chris\Calibre Library\Jojo Moyes\Someone Else's Shoes (14)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","14","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","624075","","Someone Else’s Shoes","Someone Else’s Shoes","80c49be1-c895-47fc-b617-a876efc5bc06"
"RuNyx","RuNyx","","C:\Users\chris\Calibre Library\RuNyx\Gothikana (15)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","15","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1242759","","Gothikana","Gothikana","ee410a48-6749-4b1e-846b-11964c84354d"
"Maas, Sarah J.","Sarah J. Maas","","C:\Users\chris\Calibre Library\Sarah J. Maas\A Court of Silver Flames [4] (16)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","16","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","A Court of Thorns and Roses","4.0","1668576","","A Court of Silver Flames [4]","Court of Silver Flames [4], A","b1971ae5-3953-41e5-9760-2b803d88a3db"
"Maas, Sarah J.","Sarah J. Maas","The stunning sequel to Sarah J. Maas' *New York Times* bestselling *A Court of Thorns and Roses*.
Feyre survived Amarantha's clutches to return to the Spring Court – but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.
Nor has Feyre forgotten her bargain with Rhysand, High Lord of the feared Night Court. As Feyre navigates its dark web of politics, passion, and dazzling power, a greater evil looms – and she might be key to stopping it. But only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future – and the future of a world cleaved in two.
With more than a million copies sold of her beloved Throne of Glass series, Sarah J. Maas's masterful storytelling brings this second book in her seductive and action-packed series to new heights.
","C:\Users\chris\Calibre Library\Sarah J. Maas\A Court of Mist and Fury [2] (17)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","17","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","A Court of Thorns and Roses","2.0","721404","Fantasy & Magic","A Court of Mist and Fury [2]","Court of Mist and Fury [2], A","6fbb5377-2b89-405a-98f7-87960e63f447"
"Maas, Sarah J.","Sarah J. Maas","","C:\Users\chris\Calibre Library\Sarah J. Maas\A Court of Wings and Ruin [3] (18)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","18","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","A Court of Thorns and Roses","3.0","915318","Fantasy & Magic","A Court of Wings and Ruin [3]","Court of Wings and Ruin [3], A","584eb67f-694f-4c26-8e6c-fb1f677fa8c8"
"Maas, Sarah J.","Sarah J. Maas","","C:\Users\chris\Calibre Library\Sarah J. Maas\A Court of Frost and Starlight [3.5] (19)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","19","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","A Court of Thorns and Roses","3.5","795099","Fantasy & Magic","A Court of Frost and Starlight [3.5]","Court of Frost and Starlight [3.5], A","02024209-717f-4774-9b29-7ebd2209dadb"
"Keel, Ellie","Ellie Keel","","C:\Users\chris\Calibre Library\Ellie Keel\The Four (23)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","23","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1688197","Thriller","The Four","Four, The","543930e1-5aee-4e21-8890-7c548a5061ac"
"McFadden, Freida","Freida McFadden","","C:\Users\chris\Calibre Library\Freida McFadden\The Housemaid [1] (24)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","24","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Housemaid","1.0","420244","Thriller","The Housemaid [1]","Housemaid [1], The","32529393-9f65-4b88-bafc-9502f3fdddf6"
"Mackenzie, Lauren","Lauren Mackenzie","null
","C:\Users\chris\Calibre Library\Lauren Mackenzie\The Couples (25)\cover.jpg","0101-01-01T01:00:00+01:00","epub","9781399809436","25","mobi-asin:B0BT7398QL,isbn:9781399809436","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","324616","Fiction","The Couples","Couples, The","4623f888-b4aa-41dd-accc-4c6b01ee3e5f"
"Miller, Kirsten","Kirsten Miller","<br/><p><strong>""Miller triumphs...THE CHANGE is that rare treat: a suspenseful story with great pacing, memorable characters, and an engaging voice. Fantastic in every way, this fierce anthem against misogyny is a smash.""&#8212;Publishers Weekly (starred review)</strong></p><p><strong>Big Little Lies meets The Witches of Eastwick&#8212;a gloriously entertaining and knife-sharp feminist revenge fantasy about three women whose midlife crisis brings unexpected new powers&#8212;putting them on a collision course with the evil that lurks in their wealthy beach town. </strong></p><p>In the Long Island oceanfront community of Mattauk, three different women discover that midlife changes bring a whole new type of empowerment...</p><p>After Nessa James's husband dies and her twin daughters leave for college, she's left all alone in a trim white house not far from the ocean. In the quiet of her late forties, the former nurse begins to hear voices. It doesn't take long for Nessa to realize...","C:\Users\chris\Calibre Library\Kirsten Miller\The Change (26)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","26","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","450724","Fantasy & Magic","The Change","Change, The","1d94e38a-3846-491f-9c39-ebfa5ac79dc0"
"Kennedy, Elle","Elle Kennedy","***She’s about to make a deal with the college bad boy...***
  

Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she’s carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush’s attention, she’ll have to step out of her comfort zone and make him take notice...even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date.
  

***...and it’s going to be oh so good***
  

All Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he’s worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he’s all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn’t take long for Garrett to realize that pretend isn’t going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him.
","C:\Users\chris\Calibre Library\Elle Kennedy\The Deal [1] (27)\cover.jpg","0101-01-01T01:00:00+01:00","epub, mobi","","27","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Off-Campus","1.0","551804","Adult","The Deal [1]","Deal [1], The","38ec4f5c-3d8d-442d-b1a2-99a55e1a8c9d"
"Nicole, Amber","Amber Nicole","<p><strong>World Ender meets Ender of Worlds...</strong></p><p>A thousand years ago, Dianna gave up her life in the deserts of Erioa to save her dying sister. She called upon anyone who would listen, not expecting a monster far worse than any nightmare to answer. Now she does what Kaden asks, even if that means securing an ancient relic from the very creatures that hunt her. </p><p><br></p><p><strong>A King thought long dead and long forgotten. </strong></p><p>In the old world his name was Samkiel. In the new world it is Liam, but one title remains true throughout time. He is the World Ender, a myth to his enemies, a savior and King to those loyal to him. After the Gods War, he locked himself away, hiding from the world. He denied his crown and responsibilities, leaving the very ones who needed him most to deal with the fallout of the death of their homeworld. Now an attack on those he holds dear sends him back to the one realm he never wished to visit again and into the sights of...","C:\Users\chris\Calibre Library\Amber Nicole\The Book of Azrael [1] (28)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","28","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Gods and Monsters","1.0","1689879","Fantasy & Magic, Adult","The Book of Azrael [1]","Book of Azrael [1], The","94f2c1ad-e16f-4459-a257-55cf1543d263"
"Peckham, Caroline & Valenti, Susanne","Caroline Peckham & Susanne Valenti","","C:\Users\chris\Calibre Library\Caroline Peckham\The Awakening [1] (29)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","29","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Zodiac Academy","1.0","544353","Fantasy & Magic","The Awakening [1]","Awakening [1], The","394a9f8a-0478-40c9-aea3-a40fb2f746de"
"Vickers, Megan","Megan Vickers","'Full of stuff I wish I'd known. Should be on every mother's bedside table.' <br/><b>Emma Redding, Buggyfit Founder</b><br/>Pregnancy and birth can stretch our bodies to their limit and beyond. Incontinence, birth injuries and birth traumas have been a taboo topic for far too long, and, until now, this has prevented women from fully regaining their strength. <br/><i> </i><br/><i>Stronger</i> is the must-read guide to the bodily changes encountered by all women following pregnancy, with explanations, exercises and friendly, accessible advice to protect, stabilise and rehabilitate. <br/> <br/>It's time to treat what we pretend not to see, to let the help in and to grow stronger. <br/>Let's start now.","C:\Users\chris\Calibre Library\Megan Vickers\Stronger (30)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","30","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","3287601","Self Improvement","Stronger","Stronger","b58fd528-488b-42d4-b64f-65d25df80e9f"
"Perry, Philippa","Philippa Perry","","C:\Users\chris\Calibre Library\Philippa Perry\The Book You Wish Your Parents Had R (31)\cover.jpg","0101-01-01T01:00:00+01:00","azw3, epub","","31","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","849132","Self Improvement","The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did)","Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did), The","2d26aec3-b7f4-48b7-8ec2-4f8a7107b38c"
"Angelini, Josephine","Josephine Angelini","","C:\Users\chris\Calibre Library\Josephine Angelini\Starcrossed [1] (33)\cover.jpg","2024-06-16T15:55:33+01:00","epub","","33","","eng","Calibre Library","2011-06-01T19:20:27+01:00","","","Starcrossed","1.0","380922","Fantasy & Magic","Starcrossed [1]","Starcrossed [1]","35102037-9677-4e17-98b6-0ae240576f53"
"Brandy, Meagan","Meagan Brandy","","C:\Users\chris\Calibre Library\Meagan Brandy\Say You Swear [1] (34)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","34","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Boys of Avix","1.0","739364","Romance","Say You Swear [1]","Say You Swear [1]","b47c9c99-bdf9-4030-abc9-ad038af5294f"
"Haynes, Natalie","Natalie Haynes","","C:\Users\chris\Calibre Library\Natalie Haynes\Stone Blind (35)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","35","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1043086","Mythology, Fantasy","Stone Blind","Stone Blind","e1e17dfc-2ecd-45ab-941b-b066b56cf8e0"
"Aveyard, Victoria","Victoria Aveyard","*Graceling* meets *The Selection* in Victoria Aveyard’s #1 *New York Times* bestselling fantasy series about seventeen-year-old Mare, a common girl whose latent magical powers draw her into the dangerous world of the elite ruling class. Will her power save her or condemn her? The first two novels in the series, plus two prequel novellas, are collected here, perfect for fans of the series, and those who want to find out what all the hype is about:
 *Red Queen* : *USA Today* calls Victoria Aveyard's debut novel ""a sizzling, imaginative thriller, where romance and revolution collide, where power and justice duel."" Mare Barrow's world is divided by blood—those with common, Red blood serve the Silver- blooded elite, who are gifted with superhuman abilities. Mare is a Red, scraping by as a thief, until, by a twist of fate, she discovers an ability all her own. One wrong move can lead to her death, but in the dangerous game she plays, the only certainty is betrayal.
 *Glass Sword* : The hotly anticipated sequel escalates the struggle between the growing rebel army and the blood-segregated world they've always known—and pits Mare against the darkness that has grown in her soul.
 *Queen Song* : In this prequel novella, Queen Coriane, first wife of King Tiberias, keeps a secret diary—how else can she ensure that no one at the palace will use her thoughts against her? Coriane recounts her heady courtship with the crown prince, the birth of a new prince, Cal, and the potentially deadly challenges that lay ahead for her in royal life.
 *Steel Scars* : In this second prequel novella, Captain Farley exchanges coded transmissions with the resistance as she travels the land, recruiting for her first attempt at an attack on the capital. She was raised to be strong, but planting the seeds of rebellion in Norta is a tougher job than expected—until she stumbles upon a connection that may prove to be the key to the entire operation: Mare Barrow.
**
","C:\Users\chris\Calibre Library\Victoria Aveyard\Red Queen Collection_ Red Queen, Gla (36)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","36","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","3791363","Fantasy & Magic","Red Queen Collection: Red Queen, Glass Sword, Queen Song, Steel Scars","Red Queen Collection: Red Queen, Glass Sword, Queen Song, Steel Scars","68e1c77d-1f2d-4899-89b3-851013814630"
"Walt, Jasmine","Jasmine Walt","","C:\Users\chris\Calibre Library\Jasmine Walt\Promised in Fire [1] (37)\cover.jpg","0101-01-01T01:00:00+01:00","epub, mobi","","37","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Of Dragons and Fae","1.0","674582","Fantasy & Magic, Romance","Promised in Fire [1]","Promised in Fire [1]","22cc66d8-ea22-4b62-b8d6-bfbb00613d43"
"Stewart, Kate","Kate Stewart","Secrets and lies. I've lived the entirety of my life wrapped up in subterfuge for one purpose--revenge. Through the years, I lived more as an enigma than a man. For so long, I denied I had a beating heart of my own. Until her. Until she unearthed the starving vessel inside, forced me to acknowledge it, forced me to understand that I'm capable of bleeding the same as any other. For that, we paid. We're still paying. Yet, she demands it still, the useless heart of the ruthless thief and shameless villain she fell for. My fear is, I'm no longer that man. With the lies I've told, the life I've led, my mistakes are beginning to catch up with me, day by day, one by one. This is my last chance, and I have no intention of losing her again, but as the deception of my past starts to unravel and close in, shedding my humanity may be the only thing that can save us both. Maybe it's already too late. 
","C:\Users\chris\Calibre Library\Kate Stewart\The Finish Line [3] (38)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","38","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Ravenhood","3.0","744156","Romance","The Finish Line [3]","Finish Line [3], The","d6f14e7e-a52f-493c-aade-d9f58e3d29bc"
"Cruz, Hollie de","Hollie de Cruz","<p><b>'Nurturing, supportive and calming' - Izzy Judd</b><br><b>'This book offers mothers everywhere the empowerment they so deserve' - Laura Brand</b><br><b><br>Learn to embrace your instincts and approach motherhood with confidence, b</b><b>ecause there is no 'right way', only what's right for you and your baby.</b><br>Following on from the success of <i>Your Baby, Your Birth</i>, renowned birth and parenting coach Hollie de Cruz applies her much-loved approach to the first year of motherhood.<br>This empowering and thought-provoking book will guide you through the ever-changing landscape of your baby's first year, month by month, and will help you feel assured that you know your baby best.<br>Filled with mindfulness techniques, MP3 tracks to download, Hollie's award-winning yesmum affirmations, and game-changing exercises to help you feel more capable and relaxed, <i>Motherhood Your Way</i> shows you how to:<br> Understand your baby and respond to their needs<br>Develop your...","C:\Users\chris\Calibre Library\Hollie de Cruz\Motherhood Your Way (39)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","39","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","3884699","Self Improvement","Motherhood Your Way","Motherhood Your Way","1ad47c8e-d4da-41f9-a62c-65d16b35be24"
