author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Cass, Kiera","Kiera Cass","","C:\Users\chris\Calibre Library\Kiera Cass\The Epilogue [3.1] (99)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","99","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","3.1","8508","Dystopian","The Epilogue [3.1]","Epilogue [3.1], The","c5f2ef7e-32af-4076-82e4-bdcbba1255e3"
"Peckham, Caroline & Valenti, Susanne","Caroline Peckham & Susanne Valenti","","C:\Users\chris\Calibre Library\Caroline Peckham\The Reckoning [3] (100)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","100","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Zodiac Academy","3.0","677855","Fantasy & Magic","The Reckoning [3]","Reckoning [3], The","70c11ecd-214d-4745-90f6-f75f85ae1271"
"Alderman, Naomi","Naomi Alderman","","C:\Users\chris\Calibre Library\Naomi Alderman\The Power (101)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","101","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","842489","Dystopian","The Power","Power, The","33b1552a-432b-454b-9411-8d022492f139"
"Carrick, M. A.","M. A. Carrick","Fortune favors the bold. Magic favors the liars.
Ren is a con artist who has come to the sparkling city of Nadežra with one goal: to trick her way into a noble house, securing her fortune and her sister's future.
But as she's drawn into the elite world of House Traementis, she realizes her masquerade is just one of many surrounding her. And as nightmare magic begins to weave its way through the City of Dreams, the poisonous feuds of its aristocrats and the shadowy dangers of its impoverished underbelly become tangled…with Ren at their heart.
The Mask of Mirrors is the unmissable start to the Rook & Rose trilogy, a dazzling and darkly magical fantasy adventure by Marie Brennan and Alyc Helms, writing together as M. A. Carrick.
","C:\Users\chris\Calibre Library\M. A. Carrick\The Mask of Mirrors [1] (102)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","102","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Rook & Rose","1.0","878924","Fantasy & Magic","The Mask of Mirrors [1]","Mask of Mirrors [1], The","a06a3897-2f7d-4f24-9966-5df6b6e8d35f"
"Hannah, Kristin","Kristin Hannah","*In love we find out who we want to be.  
In war we find out who we are.*  
  
FRANCE, 1939  
  
In the quiet village of Carriveau, Vianne Mauriac says goodbye to her husband, Antoine, as he heads for the Front. She doesn’t believe that the Nazis will invade France...but invade they do, in droves of marching soldiers, in caravans of trucks and tanks, in planes that fill the skies and drop bombs upon the innocent. When France is overrun, Vianne is forced to take an enemy into her house, and suddenly her every move is watched; her life and her child’s life is at constant risk. Without food or money or hope, as danger escalates around her, she must make one terrible choice after another.   
  
Vianne’s sister, Isabelle, is a rebellious eighteen-year-old girl, searching for purpose with all the reckless passion of youth. While thousands of Parisians march into the unknown terrors of war, she meets the compelling and mysterious Gäetan, a partisan who believes the French can fight the Nazis from within France, and she falls in love as only the young can...completely. When he betrays her, Isabelle races headlong into danger and joins the Resistance, never looking back or giving a thought to the real--and deadly--consequences.  
  
With courage, grace and powerful insight, bestselling author Kristin Hannah takes her talented pen to the epic panorama of WWII and illuminates an intimate part of history seldom seen: the women’s war. *The Nightingale* tells the stories of two sisters, separated by years and experience, by ideals, passion and circumstance, each embarking on her own dangerous path toward survival, love, and freedom in German-occupied, war-torn France--a heartbreakingly beautiful novel that celebrates the resilience of the human spirit and the durability of women. It is a novel for everyone, a novel for a lifetime.
","C:\Users\chris\Calibre Library\Kristin Hannah\The Nightingale (103)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","103","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","613738","Historical Fiction","The Nightingale","Nightingale, The","9fd2bff3-1dfd-4706-bae5-000113deaa43"
"Roth, Veronica","Veronica Roth","<p><strong>In the second book of the Carve the Mark duology, globally bestselling Divergent author Veronica Roth reveals how Cyra and Akos fulfill their fates. The Fates Divide is a richly imagined tale of hope and resilience told in four stunning perspectives. </strong></p><p>The lives of Cyra Noavek and Akos Kereseth are ruled by their fates, spoken by the oracles at their births. The fates, once determined, are inescapable.</p><p>Akos is in love with Cyra, in spite of his fate: He will die in service to Cyra's family. And when Cyra's father, Lazmet Noavek&#8212;a soulless tyrant, thought to be dead&#8212;reclaims the Shotet throne, Akos believes his end is closer than ever.</p><p>As Lazmet ignites a barbaric war, Cyra and Akos are desperate to stop him at any cost. For Cyra, that could mean taking the life of the man who may&#8212;or may not&#8212;be her father. For Akos, it could mean giving his own. In a stunning twist, the two will discover how fate defines their lives in...","C:\Users\chris\Calibre Library\Veronica Roth\The Fates Divide [2] (104)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","104","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Carve the Mark","2.0","898600","Fantasy, Dystopian","The Fates Divide [2]","Fates Divide [2], The","5151d033-b3e1-4be1-89fe-44150dea44a3"
"Bree, J.","J. Bree","I devoted my life to a king who was not my own.
On the road to ultimate honor and glory, I lost everything.
Now, in a world ravaged by the whims of those who rule, I must turn my back on a lifetime of friendships and loyalties to face my own fate.
The Savage Prince.
Heir to the high-fae throne of the Southern Lands, he is known for his brutality and cold heart. But with the kingdom on the brink of ruin, I have no choice but to seek him out.
The war between the fae and the witches rages, and there’s no end in sight. My destiny is clear—help the prince defeat his enemies before it’s too late.
One small problem.
I am Rookesbane Eveningstar.
The Favored Child returned, a Witch of the Woods.
The greatest enemy of my Fates-blessed mate.
","C:\Users\chris\Calibre Library\J. Bree\The Crown of Oaths and Curses [1] (105)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","105","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Mortal Fates","1.0","813226","Fantasy & Magic","The Crown of Oaths and Curses [1]","Crown of Oaths and Curses [1], The","d1d94cda-a706-4e07-a921-f6090c634c8e"
"Chakraborty, S. A","S. A Chakraborty","Nahri has never believed in magic. Certainly, she has power; on the streets of 18th century Cairo, she’s a con woman of unsurpassed talent. But she knows better than anyone that the trade she uses to get by—palm readings, zars, healings—are all tricks, sleights of hand, learned skills; a means to the delightful end of swindling Ottoman nobles.
But when Nahri accidentally summons an equally sly, darkly mysterious djinn warrior to her side during one of her cons, she’s forced to accept that the magical world she thought only existed in childhood stories is real. For the warrior tells her a new tale: across hot, windswept sands teeming with creatures of fire, and rivers where the mythical marid sleep; past ruins of once-magnificent human metropolises, and mountains where the circling hawks are not what they seem, lies Daevabad, the legendary city of brass, a city to which Nahri is irrevocably bound.
In that city, behind gilded brass walls laced with enchantments, behind the six gates of the six djinn tribes, old resentments are simmering. And when Nahri decides to enter this world, she learns that true power is fierce and brutal. That magic cannot shield her from the dangerous web of court politics. That even the cleverest of schemes can have deadly consequences.
After all, there is a reason they say be careful what you wish for...
","C:\Users\chris\Calibre Library\S. A Chakraborty\The City of Brass [1] (106)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","106","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Daevabad Trilogy","1.0","2856994","Fantasy & Magic","The City of Brass [1]","City of Brass [1], The","bc0cfdc2-8b9c-4390-893f-8383fbc67c1e"
"Ahdieh, Renée","Renée Ahdieh","In 1872, New Orleans is a city ruled by the dead. But to seventeen-year-old Celine Rousseau, New Orleans provides her a refuge after she's forced to flee her life as a dressmaker in Paris. Taken in by the sisters of the Ursuline convent along with six other girls, Celine quickly becomes enamored with the vibrant city from the music to the food to the soirées and—especially—to the danger. She soon becomes embroiled in the city's glitzy underworld, known as La Cour des Lions, after catching the eye of the group's leader, the enigmatic Sébastien Saint Germain. When the body of one of the girls from the convent is found in the lair of La Cour des Lions, Celine battles her attraction to him and suspicions about Sébastien's guilt along with the shame of her own horrible secret.
When more bodies are discovered, each crime more gruesome than the last, Celine and New Orleans become gripped by the terror of a serial killer on the loose—one Celine is sure has set her in his sights... and who may even be the young man who has stolen her heart. As the murders continue to go unsolved, Celine takes matters into her own hands and soon uncovers something even more shocking: an age-old feud from the darkest creatures of the underworld reveals a truth about Celine she always suspected simmered just beneath the surface.
At once a sultry romance and a thrilling murder mystery, master storyteller Renée Ahdieh embarks on her most potent fantasy series yet: The Beautiful.
","C:\Users\chris\Calibre Library\Renee Ahdieh\The Beautiful [1] (107)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","107","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Beautiful","1.0","809869","Fantasy & Magic","The Beautiful [1]","Beautiful [1], The","45aa7feb-41ff-47bc-a407-2a2e73221a40"
"Kingfisher, T.","T. Kingfisher","Halla is a housekeeper who has suddenly inherited her great-uncle's estate… and, unfortunately, his relatives. Sarkis is an immortal swordsman trapped in a prison of enchanted steel. When Halla draws the sword that imprisons him, Sarkis finds himself attempting to defend his new wielder against everything from bandits and roving inquisitors to her own in-laws… and the sword itself may prove to be the greatest threat of all.
","C:\Users\chris\Calibre Library\T. Kingfisher\Swordheart (108)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","108","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The World of the White Rat","1.0","601778","Fantasy & Magic","Swordheart","Swordheart","b60783df-c7cc-443c-adc9-3efc9b0c00c4"
"Cole, Penn","Penn Cole","When old secrets catch fire, everything will burn.
In a mortal world colonized by the gods and ruled over by the Descended, their cruel offspring, Diem Bellator yearns to escape the insular life of her poor village.
Her mother’s sudden disappearance—and the discovery of a dangerous secret about her past—offer Diem an unexpected opportunity to enter the dark world of Descended royalty and unlock the web of mysteries her mother left behind.
With the dying King’s handsome, mysterious heir watching her every move, and a ruthless mortal alliance recruiting her to join the growing civil war, Diem will have to navigate the unwritten rules of love, power, and politics in order to save her family—and all of mortalkind.
Spark of the Everflame is the first book in The Kindred's Curse Saga, a four-book fantasy romance series. This slow burn, enemies-to-lovers epic is perfect for lovers of magic, dragons, angst, and banter and will appeal to fans of books like A Court of Thorns and Roses, From Blood and Ash, Gild, and The Serpent & the Wings of Night.
","C:\Users\chris\Calibre Library\Penn Cole\Spark of the Everflame [1] (109)\cover.jpg","0101-01-01T01:00:00+01:00","epub, mobi","","109","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Kindred's Curse","1.0","1006442","Fantasy & Magic","Spark of the Everflame [1]","Spark of the Everflame [1]","31735b54-2a6f-473b-836d-7d9ac6da6bf3"
"Taylor, Laini","Laini Taylor","The dream chooses the dreamer, not the other way around—and Lazlo Strange, war orphan and junior librarian, has always feared that his dream chose poorly. Since he was five years old he’s been obsessed with the mythic lost city of Weep, but it would take someone bolder than he to cross half the world in search of it. Then a stunning opportunity presents itself, in the person of a hero called the Godslayer and a band of legendary warriors, and he has to seize his chance or lose his dream forever.
What happened in Weep two hundred years ago to cut it off from the rest of the world? What exactly did the Godslayer slay that went by the name of god? And what is the mysterious problem he now seeks help in solving?
The answers await in Weep, but so do more mysteries—including the blue-skinned goddess who appears in Lazlo’s dreams. How did he dream her before he knew she existed? And if all the gods are dead, why does she seem so real?
Welcome to Weep.
","C:\Users\chris\Calibre Library\Laini Taylor\Strange the Dreamer [1] (110)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","110","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Strange the Dreamer","1.0","576659","Fantasy & Magic","Strange the Dreamer [1]","Strange the Dreamer [1]","6669050e-9206-4419-a98c-50d4654d51cf"
"Peckham, Caroline & Valenti, Susanne","Caroline Peckham & Susanne Valenti","","C:\Users\chris\Calibre Library\Caroline Peckham\Shadow Princess [4] (111)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","111","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Zodiac Academy","4.0","823926","Fantasy & Magic","Shadow Princess [4]","Shadow Princess [4]","13ffb2fc-8d69-4b82-afae-22d7a606c5a7"
"Peckham, Caroline & Valenti, Susanne","Caroline Peckham & Susanne Valenti","","C:\Users\chris\Calibre Library\Caroline Peckham\Ruthless Fae [2] (112)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","112","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Zodiac Academy","2.0","640789","Fantasy & Magic","Ruthless Fae [2]","Ruthless Fae [2]","28a2174c-4e04-4acc-85ec-df9034851e5d"
"Evans, J. D.","J. D. Evans","“All magic is beautiful,” she said, “and terrible. Do you not see the beauty in yours, or the terror in mine? You can stop a heart, and I can stop your breath.”
She is heir to a Sultanate that once ruled the world. He is an unwanted prince with the power to destroy.
She is order and intellect, a woman fit to rule in a man's place. He is chaos and violence and will stop at nothing to protect his people.
His magic answers hers with shadow for light. They need each other, but the cost of balance may be too high a price. Magic is dying and the only way to save it is to enlist mages who wield the forbidden power of death, mages cast out centuries ago in a brutal and bloody war.
Now, a new war is coming. Science and machines to replace magic and old religion.
They must find a way to save their people from annihilation and balance the sacred Wheel—but first, they will have to balance their own forbidden passion. His peace for her tempest, his restlessness for her calm…
Night and day, dusk and dawn, the end, and the beginning.
","C:\Users\chris\Calibre Library\J. D. Evans\Reign & Ruin [1] (113)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","113","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Mages of the Wheel","1.0","826144","Fantasy & Magic","Reign & Ruin [1]","Reign & Ruin [1]","210ff80b-aeaf-4974-a923-2b76d436e1a5"
"Kuang, R. F.","R. F. Kuang","<p><strong>""I have no doubt this will end up being the best fantasy debut of the year [...] I have absolutely no doubt that [Kuang's] name will be up there with the likes of Robin Hobb and N.K. Jemisin."" &#8212; Booknest</strong></p><p>A brilliantly imaginative talent makes her exciting debut with this epic historical military fantasy, inspired by the bloody history of China's twentieth century and filled with treachery and magic, in the tradition of Ken Liu's Grace of Kings and N.K. Jemisin's Inheritance Trilogy.</p><p>When Rin aced the Keju&#8212;the Empire-wide test to find the most talented youth to learn at the Academies&#8212;it was a shock to everyone: to the test officials, who couldn't believe a war orphan from Rooster Province could pass without cheating; to Rin's guardians, who believed they'd finally be able to marry her off and further their criminal enterprise; and to Rin herself, who realized she was finally free of the servitude and despair that had made up her...","C:\Users\chris\Calibre Library\R. F. Kuang\The Poppy War [1] (114)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","114","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Poppy War","1.0","1099464","Fantasy & Magic","The Poppy War [1]","Poppy War [1], The","d0afefee-db19-4335-977d-1e4fc076d495"
"Shusterman, Neal","Neal Shusterman","Thou shalt kill.
A world with no hunger, no disease, no war, no misery. Humanity has conquered all those things, and has even conquered death. Now scythes are the only ones who can end life—and they are commanded to do so, in order to keep the size of the population under control.
Citra and Rowan are chosen to apprentice to a scythe—a role that neither wants. These teens must master the “art” of taking life, knowing that the consequence of failure could mean losing their own.
","C:\Users\chris\Calibre Library\Neal Shusterman\Scythe [1] (115)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","115","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Arc of a Scythe","1.0","2145428","Fantasy & Magic, Dystopian","Scythe [1]","Scythe [1]","f9e62316-d526-4605-bfd4-efc4b58502be"
"Stewart, Kate","Stewart, Kate","Secrets and lies. I've lived the entirety of my life wrapped up in subterfuge for one purpose--revenge. Through the years, I lived more as an enigma than a man. For so long, I denied I had a beating heart of my own. Until her. Until she unearthed the starving vessel inside, forced me to acknowledge it, forced me to understand that I'm capable of bleeding the same as any other. For that, we paid. We're still paying. Yet, she demands it still, the useless heart of the ruthless thief and shameless villain she fell for. My fear is, I'm no longer that man. With the lies I've told, the life I've led, my mistakes are beginning to catch up with me, day by day, one by one. This is my last chance, and I have no intention of losing her again, but as the deception of my past starts to unravel and close in, shedding my humanity may be the only thing that can save us both. Maybe it's already too late. 
","C:\Users\chris\Calibre Library\Stewart, Kate\The Finish Line [3] (116)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","116","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Ravenhood","3.0","744156","Adult","The Finish Line [3]","Finish Line [3], The","3bc8cb0e-e6a9-4de6-8d7b-cc2f3a22d965"
"Hart, Callie","Callie Hart","Do not touch the sword.
Do not turn the key.
Do not open the gate.
In the land of the unforgiving desert, there isn’t much a girl wouldn’t do for a glass of water.
Twenty-four-year-old Saeris Fane is good at keeping secrets. No one knows about the strange powers she possesses, or the fact that she has been picking pockets and stealing from the Undying Queen’s reservoirs for as long as she can remember.
But a secret is like a knot.
Sooner or later, it is bound to come undone.
When Saeris comes face-to-face with Death himself, she inadvertently reopens a gateway between realms and is transported to a land of ice and snow. The Fae have always been the stuff of myth, of legend, of nightmares…but it turns out they’re real, and Saeris has landed herself right in the middle of a centuries-long conflict that might just get her killed.
The first of her kind to tread the frozen mountains of Yvelia in over a thousand years, Saeris mistakenly binds herself to Kingfisher, a handsome Fae warrior, who has secrets and nefarious agendas of his own. He will use her Alchemist’s magic to protect his people, no matter what it costs him… or her.
Death has a name.
It is Kingfisher of the Ajun Gate.
His past is murky.
His attitude stinks.
And he’s the only way Saeris is going to make it home.
Be careful of the deals you make, dear child.
The devil is in the details...
","C:\Users\chris\Calibre Library\Callie Hart\Quicksilver [1] (117)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","117","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Fae & Alchemy","1.0","1642925","Fantasy & Magic","Quicksilver [1]","Quicksilver [1]","9a8a1b27-3c9e-476e-8c34-a8d075417f2e"
