Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18170039,"The Guard (The Selection, #2.5)",Kiera Cass,"Cass, Kiera",,"=""0062317148""","=""9780062317148""",0,3.69,HarperTeen,Unknown Binding,64,2014,2014,2024/07/10,2024/07/09,,,read,,,,1,0
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",0,3.94,HarperTeen,Hardcover,336,2013,2013,2024/07/10,2024/07/09,,,read,,,,1,0
15820748,"The Prince (The Selection, #0.5)",Kiera Cass,"Cass, Kiera",,"=""0062248162""","=""9780062248169""",0,3.89,HarperTeen,Kindle Edition,64,2013,2013,2024/07/08,2024/07/08,,,read,,,,1,0
28954189,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,"Shusterman, Neal",,"=""""","=""""",0,4.33,Simon Schuster Books for Young Readers,Hardcover,435,2016,2016,,2024/07/08,to-read,to-read (#215),to-read,,,,0,0
22054340,"The Queen (The Selection, #0.4)",Kiera Cass,"Cass, Kiera",,"=""0062351206""","=""9780062351203""",0,3.81,HarperTeen Impulse,ebook,72,2014,2014,2024/07/08,2024/07/07,,,read,,,,1,0
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",4,4.08,HarperTeen,Hardcover,336,2012,2012,2024/07/06,2024/07/06,,,read,,,,1,0
32920306,Unraveling Oliver,Liz Nugent,"Nugent, Liz",,"=""1501167758""","=""9781501167751""",0,3.82,Scout Press,Hardcover,260,2017,2014,,2024/07/06,to-read,to-read (#214),to-read,,,,0,0
62322008,Strange Sally Diamond,Liz Nugent,"Nugent, Liz",,"=""1844885968""","=""9781844885961""",0,4.19,Sandycove,Hardcover,384,2023,2023,,2024/07/06,to-read,to-read (#213),to-read,,,,0,0
214463090,Dancing with Daggers: A Brides for the Blood Lords Novella (The Inferno Universe Book 2),Alessa Thorn,"Thorn, Alessa",,"=""""","=""""",0,4.33,Thornstar Publishing Pty Ltd,Kindle Edition,129,2024,,2024/06/18,2024/06/16,,,read,,,,1,0
62885927,Limbo,Maureen Gallagher,"Gallagher, Maureen",,"=""""","=""""",4,3.57,Poolbeg Press,Kindle Edition,282,2022,2022,2024/07/04,2024/06/22,,,read,,,,1,0
58081613,"Broken Bonds (The Bonds that Tie, #1)",J.  Bree,"Bree, J.",,"=""""","=""""",0,4.15,Independently Published,Kindle Edition,289,2021,2021,,2024/06/16,to-read,to-read (#212),to-read,,,,0,0
91274442,Herc,Phoenicia Rogerson,"Rogerson, Phoenicia",,"=""1335016775""","=""9781335016775""",0,3.52,Hanover Square Press,Hardcover,384,2023,2023,,2024/03/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
53349463,"The Water Legacy (Hidden Legends: Academy of Magical Creatures, #2)",Megan Linski,"Linski, Megan",Alicia Rades,"=""""","=""""",0,4.23,Crystallite Publishing LLC,Kindle Edition,452,2020,2019,2024/06/11,2024/06/11,,,read,,,,1,0
57892054,"Dark Fae (Ruthless Boys of the Zodiac, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.20,Independently Published,Paperback,536,2021,2019,,2024/06/10,to-read,to-read (#211),to-read,,,,0,0
60217777,"Rebel Witch (The Crimson Moth, #2)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""""","=""""",0,4.50,Wednesday Books,Hardcover,464,2025,2025,,2024/06/10,to-read,to-read (#210),to-read,,,,0,0
127305713,"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""1250866901""","=""9781250866905""",0,4.21,Wednesday Books,Hardcover,416,2024,2024,,2024/06/10,to-read,to-read (#209),to-read,,,,0,0
203840597,"Powerful (The Powerless Trilogy, #1.5)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.15,Simon & Schuster Children's UK,Kindle Edition,192,2024,2024,,2024/06/10,to-read,to-read (#208),to-read,,,,0,0
137505937,The Red Queen,Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,4.00,Orion Publishing Co,Paperback,0,2015,2015,,2024/06/10,to-read,to-read (#207),to-read,,,,0,0
63910262,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,"Gillig, Rachel",,"=""0356519503""","=""9780356519500""",0,4.44,Orbit,Paperback,437,2023,2023,,2024/06/10,to-read,to-read (#206),to-read,,,,0,0
58340706,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0316312487""","=""9780316312486""",0,4.30,Orbit,Paperback,399,2022,2022,,2024/06/10,to-read,to-read (#205),to-read,,,,0,0
207003676,"Skyshade (Lightlark, #3)",Alex Aster,"Aster, Alex",,"=""141977378X""","=""9781419773785""",0,4.22,Amulet Books,Hardcover,384,2024,2024,,2024/06/10,to-read,to-read (#204),to-read,,,,0,0
58410355,"Nightbane (Lightlark, #2)",Alex Aster,"Aster, Alex",,"=""""","=""""",0,4.14,Abrams,Kindle Edition,384,2023,2023,,2024/06/10,to-read,to-read (#203),to-read,,,,0,0
60310757,"Lightlark (Lightlark, #1)",Alex Aster,"Aster, Alex",,"=""1419760866""","=""9781419760860""",0,3.84,Harry N. Abrams,Hardcover,416,2022,2022,,2024/06/10,to-read,to-read (#202),to-read,,,,0,0
203578793,"Spectacular (Caraval, #3.5)",Stephanie Garber,"Garber, Stephanie",Rosie Fowinkle,"=""1250893402""","=""9781250893406""",0,4.60,Flatiron Books,Hardcover,224,2024,2024,,2024/06/10,to-read,to-read (#201),to-read,,,,0,0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250157668""","=""9781250157669""",0,4.16,Flatiron Books,Hardcover,478,2019,2019,,2024/06/10,to-read,to-read (#200),to-read,,,,0,0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,"=""125009531X""","=""9781250095312""",0,4.14,Flatiron Books,Hardcover,451,2018,2018,,2024/06/10,to-read,to-read (#199),to-read,,,,0,0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250095255""","=""9781250095251""",0,3.98,Flatiron Books,Hardcover,407,2017,2016,,2024/06/10,to-read,to-read (#198),to-read,,,,0,0
53300871,"The Fire Prophecy (Hidden Legends: Academy of Magical Creatures, #1)",Megan Linski,"Linski, Megan",Alicia Rades,"=""""","=""""",3,3.95,Amazon Digital Services,Kindle Edition,438,2020,2018,2024/06/04,2024/05/29,,,read,,,,1,0
22896,"Practical Magic (Practical Magic, #1)",Alice Hoffman,"Hoffman, Alice",,"=""""","=""""",0,3.73,Penguin,Paperback,286,2003,1995,,2024/05/29,dnf,dnf (#4),dnf,,,,0,0
77782131,"Ryan Retribution (New York Ruthless, #3)",Sadie Kincaid,"Kincaid, Sadie",,"=""""","=""""",0,4.12,,Kindle Edition,244,2023,,,2024/05/29,dnf,dnf (#3),dnf,,,,0,0
43209291,Akin,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",0,3.68,"Little, Brown and Company",Hardcover,352,2019,2019,,2024/05/28,dnf,dnf (#2),dnf,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.43,St. Martin's Press,Kindle Edition,435,2018,2018,,2024/04/27,dnf,dnf (#1),dnf,,,,1,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",0,4.47,Random House,Hardcover,464,2022,2022,,2024/05/23,to-read,to-read (#197),to-read,,,,0,0
60417483,Trespasses,Louise Kennedy,"Kennedy, Louise",,"=""0593540891""","=""9780593540893""",0,4.00,Riverhead Books,Hardcover,304,2022,2022,,2024/05/21,to-read,to-read (#196),to-read,,,,0,0
28260402,"The Song Rising (The Bone Season, #3)",Samantha    Shannon,"Shannon, Samantha",,"=""1632866242""","=""9781632866240""",0,4.19,Bloomsbury USA,Hardcover,384,2017,2017,,2024/05/21,to-read,to-read (#195),to-read,,,,0,0
56552953,"Beasts of Prey (Beasts of Prey, #1)",Ayana Gray,"Gray, Ayana",,"=""0593405684""","=""9780593405680""",0,3.96,Nancy Paulsen Books,Hardcover,474,2021,2021,,2024/05/17,to-read,to-read (#194),to-read,,,,0,0
15715844,How to Lead a Life of Crime,Kirsten Miller,"Miller, Kirsten",,"=""1595145184""","=""9781595145185""",0,3.92,Razorbill,Hardcover,434,2013,2013,,2024/05/13,to-read,to-read (#193),to-read,,,,0,0
7130788,"The Eternal Ones (Eternal Ones, #1)",Kirsten Miller,"Miller, Kirsten",,"=""1595143084""","=""9781595143082""",0,3.75,Razorbill,Hardcover,411,2010,2010,,2024/05/13,to-read,to-read (#192),to-read,,,,0,0
59030015,The Change,Kirsten Miller,"Miller, Kirsten",,"=""0063144042""","=""9780063144040""",0,4.10,William Morrow,Hardcover,480,2022,2022,,2024/05/13,to-read,to-read (#191),to-read,,,,0,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",0,4.63,St. Martin's Press,Hardcover,471,2024,2024,,2024/05/13,to-read,to-read (#190),to-read,,,,0,0
76750092,"Ryan Redemption (New York Ruthless, #2)",Sadie Kincaid,"Kincaid, Sadie",,"=""""","=""""",1,4.06,,Kindle Edition,240,2023,,2024/05/11,2024/03/29,,,read,,,,1,0
43263520,The Grace Year,Kim Liggett,"Liggett, Kim",,"=""1250145449""","=""9781250145444""",0,4.15,Wednesday Books,Hardcover,416,2019,2019,2024/05/09,2024/05/02,,,read,,,,1,0
